outcome_descr,brand_descr,stratum,model,model_descr,term,HR,HR_CI,VE,VE_CI,HR_ECI,VE_ECI
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.26,(0.19-0.35),74.1,(65.2-80.8),0.26 (0.19-0.35),74.1 (65.2-80.8)
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.23,(0.17-0.30),77.4,(70.3-82.7),0.23 (0.17-0.30),77.4 (70.3-82.7)
Any death,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.11,(0.09-0.14),89.0,(85.9-91.4),0.11 (0.09-0.14),89.0 (85.9-91.4)
Any death,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.15,(0.13-0.18),84.7,(81.7-87.2),0.15 (0.13-0.18),84.7 (81.7-87.2)
Any death,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.18,(0.16-0.21),81.9,(79.3-84.1),0.18 (0.16-0.21),81.9 (79.3-84.1)
Any death,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.20,(0.18-0.23),79.7,(76.9-82.1),0.20 (0.18-0.23),79.7 (76.9-82.1)
Any death,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.18,(0.16-0.21),82.0,(79.3-84.3),0.18 (0.16-0.21),82.0 (79.3-84.3)
Any death,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.21,(0.19-0.24),78.7,(75.6-81.5),0.21 (0.19-0.24),78.7 (75.6-81.5)
Any death,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.23,(0.20-0.25),77.5,(74.7-79.9),0.23 (0.20-0.25),77.5 (74.7-79.9)
Any death,Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.11,(0.09-0.14),88.9,(85.8-91.4),0.11 (0.09-0.14),88.9 (85.8-91.4)
Any death,Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.15,(0.13-0.18),84.7,(81.7-87.2),0.15 (0.13-0.18),84.7 (81.7-87.2)
Any death,Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.18,(0.16-0.20),82.1,(79.6-84.3),0.18 (0.16-0.20),82.1 (79.6-84.3)
Any death,Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.20,(0.17-0.22),80.5,(77.8-82.8),0.20 (0.17-0.22),80.5 (77.8-82.8)
Any death,Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.17,(0.15-0.19),83.3,(80.8-85.4),0.17 (0.15-0.19),83.3 (80.8-85.4)
Any death,Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.19,(0.17-0.22),80.8,(78.0-83.3),0.19 (0.17-0.22),80.8 (78.0-83.3)
Any death,Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.19,(0.17-0.21),81.3,(78.9-83.4),0.19 (0.17-0.21),81.3 (78.9-83.4)
Any death,Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.15,(0.12-0.20),84.7,(80.2-88.2),0.15 (0.12-0.20),84.7 (80.2-88.2)
Any death,Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.22,(0.18-0.26),78.1,(73.7-81.7),0.22 (0.18-0.26),78.1 (73.7-81.7)
Any death,Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.30,(0.26-0.36),69.5,(63.9-74.3),0.30 (0.26-0.36),69.5 (63.9-74.3)
Any death,Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.32,(0.28-0.37),67.7,(63.1-71.7),0.32 (0.28-0.37),67.7 (63.1-71.7)
Any death,Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.28,(0.24-0.32),72.3,(67.9-76.0),0.28 (0.24-0.32),72.3 (67.9-76.0)
Any death,Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.32,(0.27-0.37),68.2,(63.0-72.8),0.32 (0.27-0.37),68.2 (63.0-72.8)
Any death,Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.29,(0.25-0.33),70.9,(66.6-74.6),0.29 (0.25-0.33),70.9 (66.6-74.6)
Any death,BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.06,(0.03-0.10),94.0,(89.7-96.5),0.06 (0.03-0.10),94.0 (89.7-96.5)
Any death,BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.12,(0.08-0.16),88.5,(84.2-91.6),0.12 (0.08-0.16),88.5 (84.2-91.6)
Any death,BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.12,(0.10-0.15),87.8,(84.8-90.1),0.12 (0.10-0.15),87.8 (84.8-90.1)
Any death,BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.12,(0.10-0.15),87.8,(85.0-90.1),0.12 (0.10-0.15),87.8 (85.0-90.1)
Any death,BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.13,(0.11-0.16),87.0,(84.1-89.4),0.13 (0.11-0.16),87.0 (84.1-89.4)
Any death,BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.15,(0.12-0.18),85.4,(82.2-88.0),0.15 (0.12-0.18),85.4 (82.2-88.0)
Any death,BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.23,(0.20-0.26),77.0,(73.8-79.8),0.23 (0.20-0.26),77.0 (73.8-79.8)
Any death,BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.06,(0.03-0.10),94.2,(90.0-96.6),0.06 (0.03-0.10),94.2 (90.0-96.6)
Any death,BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.11,(0.08-0.15),88.8,(84.6-91.8),0.11 (0.08-0.15),88.8 (84.6-91.8)
Any death,BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.12,(0.10-0.15),88.0,(85.1-90.4),0.12 (0.10-0.15),88.0 (85.1-90.4)
Any death,BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.12,(0.10-0.15),88.2,(85.4-90.4),0.12 (0.10-0.15),88.2 (85.4-90.4)
Any death,BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.12,(0.10-0.15),87.8,(85.1-90.1),0.12 (0.10-0.15),87.8 (85.1-90.1)
Any death,BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.13,(0.11-0.16),86.9,(84.0-89.3),0.13 (0.11-0.16),86.9 (84.0-89.3)
Any death,BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.19,(0.16-0.22),81.3,(78.5-83.7),0.19 (0.16-0.22),81.3 (78.5-83.7)
Any death,BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.07,(0.04-0.13),92.7,(87.3-95.8),0.07 (0.04-0.13),92.7 (87.3-95.8)
Any death,BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.16,(0.11-0.22),84.1,(78.1-88.5),0.16 (0.11-0.22),84.1 (78.1-88.5)
Any death,BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.22,(0.15-0.32),77.9,(68.3-84.6),0.22 (0.15-0.32),77.9 (68.3-84.6)
Any death,BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.20,(0.16-0.25),79.8,(74.8-83.7),0.20 (0.16-0.25),79.8 (74.8-83.7)
Any death,BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.22,(0.18-0.27),78.3,(73.1-82.5),0.22 (0.18-0.27),78.3 (73.1-82.5)
Any death,BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.23,(0.19-0.28),77.1,(71.7-81.5),0.23 (0.19-0.28),77.1 (71.7-81.5)
Any death,BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.30,(0.26-0.35),69.9,(64.9-74.2),0.30 (0.26-0.35),69.9 (64.9-74.2)
Any death,ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.14,(0.11-0.18),86.0,(81.5-89.4),0.14 (0.11-0.18),86.0 (81.5-89.4)
Any death,ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.17,(0.14-0.21),82.6,(78.6-85.8),0.17 (0.14-0.21),82.6 (78.6-85.8)
Any death,ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.21,(0.18-0.24),79.2,(75.9-82.0),0.21 (0.18-0.24),79.2 (75.9-82.0)
Any death,ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.23,(0.20-0.27),76.8,(73.2-80.0),0.23 (0.20-0.27),76.8 (73.2-80.0)
Any death,ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.18,(0.16-0.22),81.6,(78.4-84.3),0.18 (0.16-0.22),81.6 (78.4-84.3)
Any death,ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.23,(0.19-0.27),77.3,(73.4-80.7),0.23 (0.19-0.27),77.3 (73.4-80.7)
Any death,ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.24,(0.22-0.28),75.6,(72.3-78.4),0.24 (0.22-0.28),75.6 (72.3-78.4)
Any death,ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.14,(0.10-0.18),86.3,(81.9-89.6),0.14 (0.10-0.18),86.3 (81.9-89.6)
Any death,ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.17,(0.14-0.21),83.0,(79.1-86.1),0.17 (0.14-0.21),83.0 (79.1-86.1)
Any death,ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.20,(0.18-0.23),79.7,(76.5-82.5),0.20 (0.18-0.23),79.7 (76.5-82.5)
Any death,ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.22,(0.19-0.26),77.6,(74.1-80.6),0.22 (0.19-0.26),77.6 (74.1-80.6)
Any death,ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.17,(0.15-0.21),82.5,(79.5-85.1),0.17 (0.15-0.21),82.5 (79.5-85.1)
Any death,ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.21,(0.18-0.25),79.1,(75.4-82.2),0.21 (0.18-0.25),79.1 (75.4-82.2)
Any death,ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.21,(0.18-0.24),79.2,(76.3-81.8),0.21 (0.18-0.24),79.2 (76.3-81.8)
Any death,ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.19,(0.14-0.25),80.9,(74.6-85.6),0.19 (0.14-0.25),80.9 (74.6-85.6)
Any death,ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.24,(0.20-0.30),75.6,(69.9-80.3),0.24 (0.20-0.30),75.6 (69.9-80.3)
Any death,ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.33,(0.28-0.40),66.7,(60.3-72.1),0.33 (0.28-0.40),66.7 (60.3-72.1)
Any death,ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.36,(0.31-0.42),63.5,(57.6-68.6),0.36 (0.31-0.42),63.5 (57.6-68.6)
Any death,ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.28,(0.24-0.33),71.8,(66.6-76.2),0.28 (0.24-0.33),71.8 (66.6-76.2)
Any death,ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.34,(0.29-0.40),66.0,(59.5-71.5),0.34 (0.29-0.40),66.0 (59.5-71.5)
Any death,ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.31,(0.27-0.36),68.8,(63.8-73.1),0.31 (0.27-0.36),68.8 (63.8-73.1)
