outcome_descr,brand_descr,stratum,model,model_descr,term,HR,HR_CI,VE,VE_CI,HR_ECI,VE_ECI
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.21,(0.17-0.26), 79.4,(74.3-83.5),0.21 (0.17-0.26), 79.4 (74.3-83.5)
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.15,(0.12-0.20), 84.7,(79.9-88.3),0.15 (0.12-0.20), 84.7 (79.9-88.3)
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.14,(0.10-0.19), 86.0,(80.7-89.8),0.14 (0.10-0.19), 86.0 (80.7-89.8)
"COVID-19
hospitalisation",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.12,(0.09-0.16), 87.9,(84.0-90.8),0.12 (0.09-0.16), 87.9 (84.0-90.8)
COVID-19 death,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.00,(0.00-0.03), 99.6,(97.5-100.0),0.00 (0.00-0.03), 99.6 (97.5-100.0)
COVID-19 death,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.01,(0.00-0.02), 99.3,(97.9-99.8),0.01 (0.00-0.02), 99.3 (97.9-99.8)
COVID-19 death,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.00,(0.00-0.01), 99.6,(98.9-99.8),0.00 (0.00-0.01), 99.6 (98.9-99.8)
COVID-19 death,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.00,(0.00-0.01), 99.5,(98.8-99.8),0.00 (0.00-0.01), 99.5 (98.8-99.8)
COVID-19 death,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.00,(0.00-0.01), 99.6,(98.9-99.8),0.00 (0.00-0.01), 99.6 (98.9-99.8)
COVID-19 death,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.01,(0.00-0.02), 99.1,(98.1-99.6),0.01 (0.00-0.02), 99.1 (98.1-99.6)
COVID-19 death,Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.01,(0.00-0.01), 99.3,(98.6-99.6),0.01 (0.00-0.01), 99.3 (98.6-99.6)
COVID-19 death,Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.00,(0.00-0.02), 99.7,(97.5-100.0),0.00 (0.00-0.02), 99.7 (97.5-100.0)
COVID-19 death,Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.01,(0.00-0.02), 99.3,(98.0-99.8),0.01 (0.00-0.02), 99.3 (98.0-99.8)
COVID-19 death,Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.00,(0.00-0.01), 99.6,(98.9-99.8),0.00 (0.00-0.01), 99.6 (98.9-99.8)
COVID-19 death,Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.00,(0.00-0.01), 99.6,(98.9-99.8),0.00 (0.00-0.01), 99.6 (98.9-99.8)
COVID-19 death,Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.00,(0.00-0.01), 99.6,(99.0-99.9),0.00 (0.00-0.01), 99.6 (99.0-99.9)
COVID-19 death,Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.01,(0.00-0.02), 99.2,(98.3-99.6),0.01 (0.00-0.02), 99.2 (98.3-99.6)
COVID-19 death,Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.01,(0.00-0.01), 99.4,(98.8-99.7),0.01 (0.00-0.01), 99.4 (98.8-99.7)
COVID-19 death,Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.00,(0.00-0.02), 99.7,(97.5-100.0),0.00 (0.00-0.02), 99.7 (97.5-100.0)
COVID-19 death,Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.01,(0.00-0.02), 99.4,(98.0-99.8),0.01 (0.00-0.02), 99.4 (98.0-99.8)
COVID-19 death,Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.01,(0.00-0.01), 99.5,(98.6-99.8),0.01 (0.00-0.01), 99.5 (98.6-99.8)
COVID-19 death,Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.00,(0.00-0.01), 99.5,(98.9-99.8),0.00 (0.00-0.01), 99.5 (98.9-99.8)
COVID-19 death,Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.00,(0.00-0.01), 99.6,(98.9-99.9),0.00 (0.00-0.01), 99.6 (98.9-99.9)
COVID-19 death,Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.01,(0.00-0.02), 99.1,(98.2-99.6),0.01 (0.00-0.02), 99.1 (98.2-99.6)
COVID-19 death,Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.01,(0.00-0.01), 99.3,(98.7-99.7),0.01 (0.00-0.01), 99.3 (98.7-99.7)
COVID-19 death,BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.01,(0.00-0.08), 98.9,(92.4-99.9),0.01 (0.00-0.08), 98.9 (92.4-99.9)
COVID-19 death,BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0)
COVID-19 death,BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0)
COVID-19 death,BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.00,(0.00-0.02), 99.6,(98.2-99.9),0.00 (0.00-0.02), 99.6 (98.2-99.9)
COVID-19 death,BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0)
COVID-19 death,BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.01,(0.00-0.02), 99.4,(97.8-99.9),0.01 (0.00-0.02), 99.4 (97.8-99.9)
COVID-19 death,BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.01,(0.00-0.02), 99.0,(97.8-99.5),0.01 (0.00-0.02), 99.0 (97.8-99.5)
COVID-19 death,BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.01,(0.00-0.07), 99.0,(93.0-99.9),0.01 (0.00-0.07), 99.0 (93.0-99.9)
COVID-19 death,BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0)
COVID-19 death,BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0)
COVID-19 death,BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.00,(0.00-0.02), 99.6,(98.4-99.9),0.00 (0.00-0.02), 99.6 (98.4-99.9)
COVID-19 death,BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0)
COVID-19 death,BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.00,(0.00-0.02), 99.6,(98.2-99.9),0.00 (0.00-0.02), 99.6 (98.2-99.9)
COVID-19 death,BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.01,(0.00-0.02), 99.2,(98.2-99.6),0.01 (0.00-0.02), 99.2 (98.2-99.6)
COVID-19 death,BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.01,(0.00-0.07), 99.0,(93.0-99.9),0.01 (0.00-0.07), 99.0 (93.0-99.9)
COVID-19 death,BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0)
COVID-19 death,BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0)
COVID-19 death,BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.00,(0.00-0.02), 99.6,(98.3-99.9),0.00 (0.00-0.02), 99.6 (98.3-99.9)
COVID-19 death,BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0)
COVID-19 death,BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.00,(0.00-0.02), 99.5,(98.1-99.9),0.00 (0.00-0.02), 99.5 (98.1-99.9)
COVID-19 death,BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.01,(0.00-0.02), 99.1,(98.0-99.6),0.01 (0.00-0.02), 99.1 (98.0-99.6)
COVID-19 death,ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0)
COVID-19 death,ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.01,(0.00-0.03), 98.9,(96.6-99.6),0.01 (0.00-0.03), 98.9 (96.6-99.6)
COVID-19 death,ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.01,(0.00-0.02), 99.3,(98.2-99.7),0.01 (0.00-0.02), 99.3 (98.2-99.7)
COVID-19 death,ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.00,(0.00-0.01), 99.5,(98.6-99.9),0.00 (0.00-0.01), 99.5 (98.6-99.9)
COVID-19 death,ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.01,(0.00-0.02), 99.3,(98.2-99.8),0.01 (0.00-0.02), 99.3 (98.2-99.8)
COVID-19 death,ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.01,(0.00-0.03), 98.9,(97.3-99.6),0.01 (0.00-0.03), 98.9 (97.3-99.6)
COVID-19 death,ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.00,(0.00-0.01), 99.6,(98.7-99.9),0.00 (0.00-0.01), 99.6 (98.7-99.9)
COVID-19 death,ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0)
COVID-19 death,ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.01,(0.00-0.03), 98.9,(96.7-99.7),0.01 (0.00-0.03), 98.9 (96.7-99.7)
COVID-19 death,ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.01,(0.00-0.02), 99.3,(98.2-99.8),0.01 (0.00-0.02), 99.3 (98.2-99.8)
COVID-19 death,ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.00,(0.00-0.01), 99.6,(98.6-99.9),0.00 (0.00-0.01), 99.6 (98.6-99.9)
COVID-19 death,ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.01,(0.00-0.02), 99.4,(98.4-99.8),0.01 (0.00-0.02), 99.4 (98.4-99.8)
COVID-19 death,ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.01,(0.00-0.02), 99.1,(97.7-99.6),0.01 (0.00-0.02), 99.1 (97.7-99.6)
COVID-19 death,ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.00,(0.00-0.01), 99.7,(98.9-99.9),0.00 (0.00-0.01), 99.7 (98.9-99.9)
COVID-19 death,ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.00,(0.00-0.00),100.0,(100.0-100.0),0.00 (0.00-0.00),100.0 (100.0-100.0)
COVID-19 death,ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.01,(0.00-0.03), 98.9,(96.7-99.7),0.01 (0.00-0.03), 98.9 (96.7-99.7)
COVID-19 death,ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.01,(0.00-0.02), 99.2,(97.8-99.7),0.01 (0.00-0.02), 99.2 (97.8-99.7)
COVID-19 death,ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.00,(0.00-0.01), 99.5,(98.6-99.9),0.00 (0.00-0.01), 99.5 (98.6-99.9)
COVID-19 death,ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.01,(0.00-0.02), 99.3,(98.2-99.8),0.01 (0.00-0.02), 99.3 (98.2-99.8)
COVID-19 death,ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.01,(0.00-0.03), 99.0,(97.5-99.6),0.01 (0.00-0.03), 99.0 (97.5-99.6)
COVID-19 death,ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.00,(0.00-0.01), 99.6,(98.8-99.9),0.00 (0.00-0.01), 99.6 (98.8-99.9)
"Non-COVID-19
death",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.15,(0.11-0.20), 85.0,(80.2-88.7),0.15 (0.11-0.20), 85.0 (80.2-88.7)
"Non-COVID-19
death",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.17,(0.14-0.21), 82.7,(78.5-86.0),0.17 (0.14-0.21), 82.7 (78.5-86.0)
"Non-COVID-19
death",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.17,(0.15-0.20), 83.0,(80.0-85.5),0.17 (0.15-0.20), 83.0 (80.0-85.5)
"Non-COVID-19
death",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.18,(0.16-0.21), 81.9,(79.0-84.4),0.18 (0.16-0.21), 81.9 (79.0-84.4)
"Non-COVID-19
death",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.13,(0.11-0.15), 87.1,(84.8-89.0),0.13 (0.11-0.15), 87.1 (84.8-89.0)
"Non-COVID-19
death",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.15,(0.13-0.17), 85.1,(82.6-87.2),0.15 (0.13-0.17), 85.1 (82.6-87.2)
"Non-COVID-19
death",Any vaccine,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.15,(0.13-0.16), 85.2,(83.7-86.6),0.15 (0.13-0.16), 85.2 (83.7-86.6)
"Non-COVID-19
death",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.16,(0.12-0.21), 84.5,(79.5-88.2),0.16 (0.12-0.21), 84.5 (79.5-88.2)
"Non-COVID-19
death",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.18,(0.15-0.23), 81.8,(77.5-85.3),0.18 (0.15-0.23), 81.8 (77.5-85.3)
"Non-COVID-19
death",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.18,(0.15-0.21), 82.0,(78.9-84.7),0.18 (0.15-0.21), 82.0 (78.9-84.7)
"Non-COVID-19
death",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.19,(0.16-0.22), 80.9,(77.9-83.6),0.19 (0.16-0.22), 80.9 (77.9-83.6)
"Non-COVID-19
death",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.14,(0.11-0.16), 86.5,(84.0-88.5),0.14 (0.11-0.16), 86.5 (84.0-88.5)
"Non-COVID-19
death",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.16,(0.13-0.18), 84.4,(81.8-86.7),0.16 (0.13-0.18), 84.4 (81.8-86.7)
"Non-COVID-19
death",Any vaccine,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.15,(0.14-0.17), 84.9,(83.3-86.4),0.15 (0.14-0.17), 84.9 (83.3-86.4)
"Non-COVID-19
death",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.17,(0.13-0.22), 83.2,(77.7-87.3),0.17 (0.13-0.22), 83.2 (77.7-87.3)
"Non-COVID-19
death",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.19,(0.15-0.24), 81.0,(76.4-84.7),0.19 (0.15-0.24), 81.0 (76.4-84.7)
"Non-COVID-19
death",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.19,(0.16-0.22), 81.0,(77.7-83.9),0.19 (0.16-0.22), 81.0 (77.7-83.9)
"Non-COVID-19
death",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.21,(0.18-0.24), 79.4,(76.0-82.3),0.21 (0.18-0.24), 79.4 (76.0-82.3)
"Non-COVID-19
death",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.14,(0.12-0.17), 85.7,(83.1-87.9),0.14 (0.12-0.17), 85.7 (83.1-87.9)
"Non-COVID-19
death",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.17,(0.14-0.20), 83.4,(80.5-85.8),0.17 (0.14-0.20), 83.4 (80.5-85.8)
"Non-COVID-19
death",Any vaccine,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.16,(0.14-0.18), 84.0,(82.2-85.6),0.16 (0.14-0.18), 84.0 (82.2-85.6)
"Non-COVID-19
death",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.10,(0.06-0.18), 89.8,(82.1-94.2),0.10 (0.06-0.18), 89.8 (82.1-94.2)
"Non-COVID-19
death",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.16,(0.11-0.23), 84.0,(76.9-88.9),0.16 (0.11-0.23), 84.0 (76.9-88.9)
"Non-COVID-19
death",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.13,(0.10-0.17), 86.7,(82.5-89.9),0.13 (0.10-0.17), 86.7 (82.5-89.9)
"Non-COVID-19
death",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.13,(0.10-0.17), 86.8,(82.9-89.8),0.13 (0.10-0.17), 86.8 (82.9-89.8)
"Non-COVID-19
death",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.12,(0.09-0.15), 88.5,(85.1-91.1),0.12 (0.09-0.15), 88.5 (85.1-91.1)
"Non-COVID-19
death",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.12,(0.10-0.16), 87.5,(84.0-90.2),0.12 (0.10-0.16), 87.5 (84.0-90.2)
"Non-COVID-19
death",BNT162b2,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.16,(0.14-0.18), 84.2,(81.9-86.2),0.16 (0.14-0.18), 84.2 (81.9-86.2)
"Non-COVID-19
death",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.10,(0.06-0.17), 90.2,(82.7-94.5),0.10 (0.06-0.17), 90.2 (82.7-94.5)
"Non-COVID-19
death",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.16,(0.11-0.23), 84.4,(77.4-89.2),0.16 (0.11-0.23), 84.4 (77.4-89.2)
"Non-COVID-19
death",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.13,(0.10-0.17), 86.8,(82.6-90.0),0.13 (0.10-0.17), 86.8 (82.6-90.0)
"Non-COVID-19
death",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.13,(0.10-0.17), 86.8,(82.8-89.8),0.13 (0.10-0.17), 86.8 (82.8-89.8)
"Non-COVID-19
death",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.11,(0.09-0.15), 88.6,(85.1-91.2),0.11 (0.09-0.15), 88.6 (85.1-91.2)
"Non-COVID-19
death",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.12,(0.09-0.16), 87.8,(84.3-90.5),0.12 (0.09-0.16), 87.8 (84.3-90.5)
"Non-COVID-19
death",BNT162b2,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.15,(0.13-0.17), 85.2,(82.9-87.2),0.15 (0.13-0.17), 85.2 (82.9-87.2)
"Non-COVID-19
death",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.10,(0.06-0.18), 89.9,(82.2-94.3),0.10 (0.06-0.18), 89.9 (82.2-94.3)
"Non-COVID-19
death",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.17,(0.12-0.25), 82.6,(74.8-88.0),0.17 (0.12-0.25), 82.6 (74.8-88.0)
"Non-COVID-19
death",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.16,(0.12-0.21), 84.2,(78.8-88.2),0.16 (0.12-0.21), 84.2 (78.8-88.2)
"Non-COVID-19
death",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.16,(0.12-0.21), 84.0,(79.0-87.8),0.16 (0.12-0.21), 84.0 (79.0-87.8)
"Non-COVID-19
death",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.13,(0.10-0.17), 87.1,(83.1-90.1),0.13 (0.10-0.17), 87.1 (83.1-90.1)
"Non-COVID-19
death",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.14,(0.11-0.18), 86.2,(82.2-89.3),0.14 (0.11-0.18), 86.2 (82.2-89.3)
"Non-COVID-19
death",BNT162b2,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.17,(0.15-0.20), 83.1,(80.4-85.4),0.17 (0.15-0.20), 83.1 (80.4-85.4)
"Non-COVID-19
death",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",1-3,0.18,(0.13-0.25), 81.5,(74.6-86.6),0.18 (0.13-0.25), 81.5 (74.6-86.6)
"Non-COVID-19
death",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",4-7,0.19,(0.15-0.25), 81.0,(75.4-85.3),0.19 (0.15-0.25), 81.0 (75.4-85.3)
"Non-COVID-19
death",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",8-14,0.20,(0.16-0.24), 80.3,(76.3-83.6),0.20 (0.16-0.24), 80.3 (76.3-83.6)
"Non-COVID-19
death",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",15-21,0.21,(0.17-0.25), 79.3,(75.4-82.6),0.21 (0.17-0.25), 79.3 (75.4-82.6)
"Non-COVID-19
death",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",22-28,0.13,(0.11-0.16), 86.9,(84.0-89.3),0.13 (0.11-0.16), 86.9 (84.0-89.3)
"Non-COVID-19
death",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",29-35,0.16,(0.13-0.19), 84.3,(81.2-87.0),0.16 (0.13-0.19), 84.3 (81.2-87.0)
"Non-COVID-19
death",ChAdOx1,NA,1,"Region-stratified Cox model, with no further adjustment",36+,0.16,(0.14-0.18), 84.1,(82.2-85.9),0.16 (0.14-0.18), 84.1 (82.2-85.9)
"Non-COVID-19
death",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.19,(0.14-0.26), 81.3,(74.3-86.4),0.19 (0.14-0.26), 81.3 (74.3-86.4)
"Non-COVID-19
death",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.19,(0.15-0.25), 80.6,(74.9-85.0),0.19 (0.15-0.25), 80.6 (74.9-85.0)
"Non-COVID-19
death",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.20,(0.17-0.24), 79.6,(75.5-83.1),0.20 (0.17-0.24), 79.6 (75.5-83.1)
"Non-COVID-19
death",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.22,(0.18-0.26), 78.4,(74.3-81.8),0.22 (0.18-0.26), 78.4 (74.3-81.8)
"Non-COVID-19
death",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.14,(0.11-0.17), 86.3,(83.2-88.8),0.14 (0.11-0.17), 86.3 (83.2-88.8)
"Non-COVID-19
death",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.16,(0.14-0.20), 83.6,(80.2-86.5),0.16 (0.14-0.20), 83.6 (80.2-86.5)
"Non-COVID-19
death",ChAdOx1,NA,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.16,(0.14-0.18), 84.1,(82.0-86.0),0.16 (0.14-0.18), 84.1 (82.0-86.0)
"Non-COVID-19
death",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.20,(0.15-0.28), 79.9,(72.3-85.5),0.20 (0.15-0.28), 79.9 (72.3-85.5)
"Non-COVID-19
death",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.20,(0.15-0.26), 80.0,(74.1-84.6),0.20 (0.15-0.26), 80.0 (74.1-84.6)
"Non-COVID-19
death",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.21,(0.17-0.25), 79.0,(74.7-82.6),0.21 (0.17-0.25), 79.0 (74.7-82.6)
"Non-COVID-19
death",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.23,(0.19-0.27), 77.2,(72.8-80.9),0.23 (0.19-0.27), 77.2 (72.8-80.9)
"Non-COVID-19
death",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.14,(0.12-0.18), 85.6,(82.2-88.3),0.14 (0.12-0.18), 85.6 (82.2-88.3)
"Non-COVID-19
death",ChAdOx1,NA,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.17,(0.14-0.21), 82.6,(78.8-85.6),0.17 (0.14-0.21), 82.6 (78.8-85.6)
