outcome_descr,brand_descr,term,stratum,1_HR_ECI,2_HR_ECI,4_HR_ECI,1_VE_ECI,2_VE_ECI,4_VE_ECI
COVID-19 death,ChAdOx1,4-7,Immunocompromised,0.02 (0.00-0.15),0.02 (0.00-0.16),0.03 (0.00-0.20), 97.8 (84.7-99.7), 97.8 (84.3-99.7), 97.2 (80.2-99.6)
COVID-19 death,ChAdOx1,8-14,Immunocompromised,0.01 (0.00-0.08),0.01 (0.00-0.09),0.02 (0.00-0.11), 98.8 (91.8-99.8), 98.8 (91.4-99.8), 98.5 (89.1-99.8)
COVID-19 death,ChAdOx1,15-21,Immunocompromised,0.00 (0.00-0.00),0.00 (0.00-0.00),0.00 (0.00-0.00),100.0 (100.0-100.0),100.0 (100.0-100.0),100.0 (100.0-100.0)
COVID-19 death,ChAdOx1,22-28,Immunocompromised,0.00 (0.00-0.00),0.00 (0.00-0.00),0.00 (0.00-0.00),100.0 (100.0-100.0),100.0 (100.0-100.0),100.0 (100.0-100.0)
COVID-19 death,ChAdOx1,29-35,Immunocompromised,0.02 (0.00-0.16),0.02 (0.00-0.16),0.03 (0.00-0.22), 97.8 (84.2-99.7), 97.7 (83.7-99.7), 96.9 (77.9-99.6)
COVID-19 death,ChAdOx1,36+,Immunocompromised,0.00 (0.00-0.00),0.00 (0.00-0.00),0.00 (0.00-0.00),100.0 (100.0-100.0),100.0 (100.0-100.0),100.0 (100.0-100.0)
"Non-COVID-19
death",Any vaccine,1-3,Not immunocompromised,0.18 (0.15-0.21),0.18 (0.15-0.22),0.19 (0.16-0.23), 82.4 (78.8-85.4), 81.7 (77.9-84.8), 80.7 (76.7-84.0)
"Non-COVID-19
death",Any vaccine,4-7,Not immunocompromised,0.21 (0.18-0.24),0.22 (0.19-0.25),0.23 (0.20-0.26), 79.1 (75.9-81.9), 78.1 (74.7-81.0), 77.2 (73.6-80.2)
"Non-COVID-19
death",Any vaccine,8-14,Not immunocompromised,0.18 (0.16-0.20),0.19 (0.17-0.22),0.20 (0.18-0.23), 81.8 (79.7-83.8), 80.6 (78.3-82.6), 79.8 (77.4-82.0)
"Non-COVID-19
death",Any vaccine,15-21,Not immunocompromised,0.16 (0.14-0.18),0.17 (0.16-0.20),0.18 (0.16-0.20), 83.9 (82.0-85.7), 82.5 (80.4-84.4), 81.7 (79.5-83.7)
"Non-COVID-19
death",Any vaccine,22-28,Not immunocompromised,0.16 (0.14-0.18),0.18 (0.16-0.20),0.18 (0.16-0.21), 84.0 (82.1-85.7), 82.4 (80.2-84.3), 81.7 (79.5-83.7)
"Non-COVID-19
death",Any vaccine,29-35,Not immunocompromised,0.14 (0.12-0.15),0.15 (0.13-0.17),0.16 (0.14-0.18), 86.4 (84.7-87.9), 85.0 (83.1-86.7), 84.3 (82.3-86.1)
"Non-COVID-19
death",Any vaccine,36+,Not immunocompromised,0.11 (0.11-0.12),0.13 (0.12-0.14),0.13 (0.12-0.14), 88.6 (87.8-89.4), 87.3 (86.3-88.2), 86.7 (85.7-87.7)
"Non-COVID-19
death",Any vaccine,1-3,Immunocompromised,0.11 (0.05-0.23),0.11 (0.05-0.24),0.10 (0.05-0.22), 89.1 (76.9-94.8), 88.8 (76.3-94.7), 89.6 (77.5-95.2)
"Non-COVID-19
death",Any vaccine,4-7,Immunocompromised,0.14 (0.08-0.23),0.14 (0.08-0.24),0.14 (0.08-0.24), 86.5 (76.5-92.2), 86.0 (75.7-91.9), 86.4 (76.2-92.2)
"Non-COVID-19
death",Any vaccine,8-14,Immunocompromised,0.18 (0.12-0.25),0.18 (0.13-0.26),0.19 (0.13-0.27), 82.5 (75.1-87.6), 81.6 (74.0-87.0), 80.9 (72.8-86.6)
"Non-COVID-19
death",Any vaccine,15-21,Immunocompromised,0.17 (0.12-0.24),0.18 (0.13-0.25),0.19 (0.14-0.27), 83.0 (76.3-87.7), 81.9 (74.9-86.9), 80.5 (73.0-86.0)
"Non-COVID-19
death",Any vaccine,22-28,Immunocompromised,0.16 (0.11-0.22),0.17 (0.12-0.24),0.18 (0.13-0.25), 84.1 (77.9-88.6), 83.0 (76.3-87.8), 82.2 (75.1-87.3)
"Non-COVID-19
death",Any vaccine,29-35,Immunocompromised,0.10 (0.07-0.15),0.11 (0.08-0.17),0.12 (0.08-0.18), 89.6 (84.6-93.0), 88.8 (83.4-92.4), 88.2 (82.5-92.0)
"Non-COVID-19
death",Any vaccine,36+,Immunocompromised,0.10 (0.08-0.12),0.11 (0.09-0.13),0.11 (0.09-0.13), 90.2 (88.1-91.9), 89.4 (87.2-91.3), 89.1 (86.7-91.1)
"Non-COVID-19
death",BNT162b2,1-3,Not immunocompromised,0.12 (0.09-0.15),0.13 (0.10-0.17),0.14 (0.11-0.19), 88.4 (84.6-91.3), 87.0 (82.7-90.2), 85.9 (81.2-89.5)
"Non-COVID-19
death",BNT162b2,4-7,Not immunocompromised,0.12 (0.10-0.16),0.14 (0.11-0.18),0.15 (0.12-0.19), 87.6 (84.5-90.1), 85.9 (82.3-88.8), 84.9 (80.9-88.0)
"Non-COVID-19
death",BNT162b2,8-14,Not immunocompromised,0.11 (0.09-0.13),0.13 (0.11-0.15),0.14 (0.12-0.17), 88.9 (86.8-90.6), 87.2 (84.8-89.2), 86.1 (83.5-88.3)
"Non-COVID-19
death",BNT162b2,15-21,Not immunocompromised,0.10 (0.09-0.12),0.12 (0.10-0.14),0.13 (0.11-0.15), 89.7 (87.9-91.2), 88.1 (85.9-89.9), 87.0 (84.7-89.0)
"Non-COVID-19
death",BNT162b2,22-28,Not immunocompromised,0.12 (0.10-0.14),0.14 (0.12-0.16),0.15 (0.13-0.18), 88.0 (86.0-89.7), 86.1 (83.7-88.1), 84.6 (82.0-86.9)
"Non-COVID-19
death",BNT162b2,29-35,Not immunocompromised,0.09 (0.08-0.11),0.11 (0.09-0.13),0.12 (0.10-0.14), 90.7 (88.9-92.1), 89.3 (87.3-91.0), 88.1 (85.8-90.0)
"Non-COVID-19
death",BNT162b2,36+,Not immunocompromised,0.11 (0.10-0.12),0.11 (0.10-0.13),0.13 (0.11-0.14), 89.5 (88.5-90.4), 88.5 (87.4-89.6), 87.4 (86.1-88.6)
"Non-COVID-19
death",BNT162b2,1-3,Immunocompromised,0.05 (0.01-0.19),0.05 (0.01-0.20),0.05 (0.01-0.21), 95.3 (81.1-98.8), 95.0 (79.9-98.7), 94.7 (78.8-98.7)
"Non-COVID-19
death",BNT162b2,4-7,Immunocompromised,0.08 (0.03-0.18),0.08 (0.03-0.20),0.09 (0.04-0.21), 92.4 (81.5-96.8), 91.8 (80.2-96.6), 91.2 (78.6-96.3)
"Non-COVID-19
death",BNT162b2,8-14,Immunocompromised,0.11 (0.06-0.18),0.12 (0.07-0.19),0.13 (0.08-0.22), 89.4 (82.1-93.7), 88.5 (80.6-93.2), 87.1 (78.1-92.4)
"Non-COVID-19
death",BNT162b2,15-21,Immunocompromised,0.10 (0.06-0.17),0.11 (0.07-0.18),0.13 (0.08-0.21), 89.6 (83.1-93.5), 88.6 (81.6-93.0), 87.1 (79.0-92.0)
"Non-COVID-19
death",BNT162b2,22-28,Immunocompromised,0.15 (0.10-0.22),0.16 (0.11-0.24),0.18 (0.12-0.28), 85.3 (77.9-90.3), 84.0 (75.9-89.4), 81.8 (72.4-88.0)
"Non-COVID-19
death",BNT162b2,29-35,Immunocompromised,0.06 (0.03-0.11),0.06 (0.03-0.12),0.08 (0.04-0.14), 94.1 (89.0-96.8), 93.6 (88.2-96.6), 92.4 (85.9-95.9)
"Non-COVID-19
death",BNT162b2,36+,Immunocompromised,0.09 (0.07-0.11),0.09 (0.07-0.12),0.10 (0.07-0.12), 91.3 (88.8-93.2), 90.9 (88.4-92.9), 90.4 (87.7-92.6)
"Non-COVID-19
death",ChAdOx1,1-3,Not immunocompromised,0.25 (0.19-0.31),0.23 (0.18-0.30),0.24 (0.19-0.31), 75.5 (68.6-80.8), 76.7 (70.1-81.8), 76.0 (69.1-81.4)
"Non-COVID-19
death",ChAdOx1,4-7,Not immunocompromised,0.31 (0.26-0.37),0.30 (0.25-0.36),0.32 (0.26-0.39), 68.9 (62.5-74.2), 70.2 (64.1-75.3), 68.3 (61.3-74.0)
"Non-COVID-19
death",ChAdOx1,8-14,Not immunocompromised,0.27 (0.23-0.32),0.26 (0.23-0.30),0.27 (0.23-0.32), 72.8 (68.4-76.6), 73.8 (69.6-77.4), 72.7 (68.2-76.6)
"Non-COVID-19
death",ChAdOx1,15-21,Not immunocompromised,0.25 (0.22-0.29),0.24 (0.21-0.28),0.25 (0.22-0.29), 75.0 (70.9-78.5), 75.9 (72.0-79.3), 74.9 (70.7-78.5)
"Non-COVID-19
death",ChAdOx1,22-28,Not immunocompromised,0.23 (0.20-0.27),0.22 (0.19-0.26),0.23 (0.19-0.28), 77.1 (73.1-80.4), 78.0 (74.2-81.2), 76.9 (72.3-80.7)
"Non-COVID-19
death",ChAdOx1,29-35,Not immunocompromised,0.23 (0.20-0.27),0.22 (0.19-0.26),0.22 (0.19-0.26), 77.0 (73.0-80.4), 77.9 (74.1-81.2), 78.1 (74.2-81.4)
"Non-COVID-19
death",ChAdOx1,36+,Not immunocompromised,0.21 (0.19-0.23),0.21 (0.18-0.23),0.21 (0.19-0.24), 79.3 (76.9-81.5), 79.5 (77.1-81.7), 78.7 (76.1-81.0)
"Non-COVID-19
death",ChAdOx1,1-3,Immunocompromised,0.19 (0.08-0.47),0.18 (0.07-0.45),0.14 (0.05-0.39), 81.0 (53.2-92.2), 81.7 (55.0-92.5), 86.3 (60.9-95.2)
"Non-COVID-19
death",ChAdOx1,4-7,Immunocompromised,0.20 (0.10-0.41),0.19 (0.10-0.39),0.18 (0.08-0.37), 79.9 (59.2-90.1), 80.5 (60.5-90.4), 82.5 (62.8-91.7)
"Non-COVID-19
death",ChAdOx1,8-14,Immunocompromised,0.24 (0.15-0.39),0.24 (0.15-0.38),0.20 (0.12-0.33), 75.7 (61.2-84.7), 76.2 (62.2-85.1), 79.8 (67.1-87.7)
"Non-COVID-19
death",ChAdOx1,15-21,Immunocompromised,0.24 (0.16-0.37),0.24 (0.15-0.37),0.26 (0.17-0.40), 75.8 (62.6-84.3), 76.2 (63.3-84.6), 74.3 (60.2-83.4)
"Non-COVID-19
death",ChAdOx1,22-28,Immunocompromised,0.15 (0.09-0.26),0.15 (0.09-0.25),0.13 (0.08-0.23), 84.9 (74.4-91.1), 85.2 (74.8-91.3), 86.6 (76.7-92.3)
"Non-COVID-19
death",ChAdOx1,29-35,Immunocompromised,0.19 (0.11-0.31),0.19 (0.11-0.31),0.19 (0.12-0.32), 81.1 (68.9-88.5), 81.5 (69.5-88.8), 80.7 (68.1-88.4)
"Non-COVID-19
death",ChAdOx1,36+,Immunocompromised,0.17 (0.13-0.24),0.17 (0.13-0.24),0.17 (0.13-0.24), 82.7 (76.4-87.4), 82.8 (76.4-87.5), 82.6 (75.9-87.4)
