outcome_descr,brand_descr,stratum,model,model_descr,term,HR,HR_CI,VE,VE_CI,HR_ECI,VE_ECI,diff,diff_CI,diff_ECI
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.82,(0.76-0.88), 18.3,(12.1-24.0),0.82 (0.76-0.88), 18.3 (12.1-24.0),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.76,(0.70-0.82), 24.2,(17.9-29.9),0.76 (0.70-0.82), 24.2 (17.9-29.9),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.79,(0.73-0.85), 21.3,(15.2-27.0),0.79 (0.73-0.85), 21.3 (15.2-27.0),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.88,(0.81-0.96), 12.1,(4.1-19.5),0.88 (0.81-0.96), 12.1 (4.1-19.5),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.78,(0.72-0.85), 21.9,(15.0-28.3),0.78 (0.72-0.85), 21.9 (15.0-28.3),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.91,(0.85-0.97),  8.9,(2.7-14.7),0.91 (0.85-0.97),  8.9 (2.7-14.7),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.94,(0.88-1.01),  5.6,(-1.1-11.8),0.94 (0.88-1.01),  5.6 (-1.1-11.8),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.91,(0.84-0.98),  8.9,(1.8-15.5),0.91 (0.84-0.98),  8.9 (1.8-15.5),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.83,(0.76-0.90), 17.3,(10.2-23.8),0.83 (0.76-0.90), 17.3 (10.2-23.8),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.83,(0.77-0.90), 16.6,(9.9-22.8),0.83 (0.77-0.90), 16.6 (9.9-22.8),0.00,(NA-NA),0.00 (NA-NA)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.87,(0.67-1.14), 12.6,(-13.9-32.9),0.87 (0.67-1.14), 12.6 (-13.9-32.9),0.09,(-0.19-0.37),0.09 (-0.19-0.37)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.66,(0.50-0.86), 34.2,(13.9-49.7),0.66 (0.50-0.86), 34.2 (13.9-49.7),-0.08,(-0.36-0.20),-0.08 (-0.36-0.20)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.81,(0.66-0.99), 19.2,(0.5-34.4),0.81 (0.66-0.99), 19.2 (0.5-34.4),-0.02,(-0.24-0.19),-0.02 (-0.24-0.19)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.80,(0.65-1.00), 19.6,(-0.1-35.5),0.80 (0.65-1.00), 19.6 (-0.1-35.5),-0.11,(-0.34-0.12),-0.11 (-0.34-0.12)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.75,(0.59-0.94), 25.3,(5.7-40.9),0.75 (0.59-0.94), 25.3 (5.7-40.9),-0.16,(-0.40-0.08),-0.16 (-0.40-0.08)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.60,(0.46-0.77), 40.4,(22.6-54.2),0.60 (0.46-0.77), 40.4 (22.6-54.2),-0.31,(-0.59--0.04),-0.31 (-0.59--0.04)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.79,(0.65-0.96), 21.0,(3.8-35.1),0.79 (0.65-0.96), 21.0 (3.8-35.1),-0.06,(-0.27-0.15),-0.06 (-0.27-0.15)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.86,(0.66-1.12), 14.1,(-12.0-34.1),0.86 (0.66-1.12), 14.1 (-12.0-34.1),0.12,(-0.16-0.39),0.12 (-0.16-0.39)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.65,(0.50-0.85), 35.1,(15.1-50.4),0.65 (0.50-0.85), 35.1 (15.1-50.4),-0.05,(-0.33-0.23),-0.05 (-0.33-0.23)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.80,(0.65-0.98), 20.2,(1.6-35.2),0.80 (0.65-0.98), 20.2 (1.6-35.2),0.02,(-0.20-0.23),0.02 (-0.20-0.23)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.80,(0.64-0.99), 20.4,(0.7-36.2),0.80 (0.64-0.99), 20.4 (0.7-36.2),-0.06,(-0.29-0.17),-0.06 (-0.29-0.17)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.74,(0.58-0.94), 26.0,(6.2-41.6),0.74 (0.58-0.94), 26.0 (6.2-41.6),-0.10,(-0.35-0.15),-0.10 (-0.35-0.15)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.59,(0.45-0.77), 40.9,(22.9-54.7),0.59 (0.45-0.77), 40.9 (22.9-54.7),-0.25,(-0.53-0.03),-0.25 (-0.53-0.03)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.79,(0.65-0.97), 20.7,(2.6-35.4),0.79 (0.65-0.97), 20.7 (2.6-35.4),0.01,(-0.21-0.23),0.01 (-0.21-0.23)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.96,(0.74-1.26),  3.6,(-25.9-26.1),0.96 (0.74-1.26),  3.6 (-25.9-26.1),0.09,(-0.19-0.37),0.09 (-0.19-0.37)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.74,(0.57-0.97), 25.7,(2.7-43.3),0.74 (0.57-0.97), 25.7 (2.7-43.3),-0.05,(-0.33-0.23),-0.05 (-0.33-0.23)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.89,(0.72-1.10), 11.2,(-9.8-28.2),0.89 (0.72-1.10), 11.2 (-9.8-28.2),-0.03,(-0.25-0.20),-0.03 (-0.25-0.20)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.88,(0.70-1.10), 11.8,(-10.5-29.5),0.88 (0.70-1.10), 11.8 (-10.5-29.5),-0.07,(-0.30-0.17),-0.07 (-0.30-0.17)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.81,(0.63-1.03), 19.2,(-2.8-36.5),0.81 (0.63-1.03), 19.2 (-2.8-36.5),-0.12,(-0.37-0.13),-0.12 (-0.37-0.13)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.64,(0.49-0.84), 36.0,(16.1-51.2),0.64 (0.49-0.84), 36.0 (16.1-51.2),-0.26,(-0.54-0.03),-0.26 (-0.54-0.03)
"Positive
SARS-CoV-2
test",ChAdOx1,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.86,(0.69-1.06), 14.2,(-6.1-30.6),0.86 (0.69-1.06), 14.2 (-6.1-30.6),0.03,(-0.20-0.25),0.03 (-0.20-0.25)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.27,(0.24-0.32), 72.5,(68.5-76.0),0.27 (0.24-0.32), 72.5 (68.5-76.0),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.31,(0.27-0.34), 69.3,(65.6-72.6),0.31 (0.27-0.34), 69.3 (65.6-72.6),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.29,(0.26-0.31), 71.5,(68.7-74.1),0.29 (0.26-0.31), 71.5 (68.7-74.1),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.23,(0.20-0.25), 77.5,(74.9-79.8),0.23 (0.20-0.25), 77.5 (74.9-79.8),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.19,(0.17-0.22), 80.9,(78.1-83.3),0.19 (0.17-0.22), 80.9 (78.1-83.3),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.15,(0.12-0.17), 85.3,(82.6-87.5),0.15 (0.12-0.17), 85.3 (82.6-87.5),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.15,(0.13-0.17), 84.9,(82.8-86.7),0.15 (0.13-0.17), 84.9 (82.8-86.7),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.29,(0.26-0.34), 70.6,(66.3-74.4),0.29 (0.26-0.34), 70.6 (66.3-74.4),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.33,(0.30-0.37), 66.8,(62.7-70.3),0.33 (0.30-0.37), 66.8 (62.7-70.3),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.31,(0.28-0.34), 68.6,(65.5-71.5),0.31 (0.28-0.34), 68.6 (65.5-71.5),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.25,(0.23-0.28), 74.9,(71.9-77.5),0.25 (0.23-0.28), 74.9 (71.9-77.5),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.22,(0.19-0.25), 78.2,(75.0-81.0),0.22 (0.19-0.25), 78.2 (75.0-81.0),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.17,(0.14-0.20), 83.1,(80.0-85.7),0.17 (0.14-0.20), 83.1 (80.0-85.7),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.17,(0.15-0.20), 82.6,(80.2-84.8),0.17 (0.15-0.20), 82.6 (80.2-84.8),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.31,(0.27-0.36), 69.0,(64.4-73.0),0.31 (0.27-0.36), 69.0 (64.4-73.0),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.36,(0.32-0.40), 64.2,(59.9-68.1),0.36 (0.32-0.40), 64.2 (59.9-68.1),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.34,(0.30-0.37), 66.5,(63.1-69.6),0.34 (0.30-0.37), 66.5 (63.1-69.6),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.26,(0.24-0.30), 73.6,(70.5-76.3),0.26 (0.24-0.30), 73.6 (70.5-76.3),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.23,(0.20-0.27), 76.7,(73.3-79.7),0.23 (0.20-0.27), 76.7 (73.3-79.7),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.18,(0.15-0.21), 81.9,(78.6-84.7),0.18 (0.15-0.21), 81.9 (78.6-84.7),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.19,(0.16-0.21), 81.4,(78.8-83.8),0.19 (0.16-0.21), 81.4 (78.8-83.8),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.28,(0.18-0.44), 72.0,(56.2-82.1),0.28 (0.18-0.44), 72.0 (56.2-82.1),0.02,(-0.45-0.49),0.02 (-0.45-0.49)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.38,(0.27-0.53), 62.2,(46.9-73.1),0.38 (0.27-0.53), 62.2 (46.9-73.1),0.21,(-0.15-0.57),0.21 (-0.15-0.57)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.29,(0.21-0.39), 71.4,(61.2-78.8),0.29 (0.21-0.39), 71.4 (61.2-78.8),0.00,(-0.31-0.32),0.00 (-0.31-0.32)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.23,(0.17-0.33), 76.5,(66.7-83.5),0.23 (0.17-0.33), 76.5 (66.7-83.5),0.04,(-0.33-0.41),0.04 (-0.33-0.41)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.11,(0.07-0.20), 88.5,(80.2-93.3),0.11 (0.07-0.20), 88.5 (80.2-93.3),-0.51,(-1.07-0.05),-0.51 (-1.07-0.05)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.17,(0.10-0.28), 82.8,(72.0-89.5),0.17 (0.10-0.28), 82.8 (72.0-89.5),0.15,(-0.37-0.67),0.15 (-0.37-0.67)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.12,(0.08-0.18), 87.7,(82.1-91.6),0.12 (0.08-0.18), 87.7 (82.1-91.6),-0.21,(-0.61-0.19),-0.21 (-0.61-0.19)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.29,(0.19-0.46), 70.5,(53.9-81.2),0.29 (0.19-0.46), 70.5 (53.9-81.2),0.00,(-0.46-0.47),0.00 (-0.46-0.47)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.40,(0.29-0.56), 59.9,(43.6-71.4),0.40 (0.29-0.56), 59.9 (43.6-71.4),0.19,(-0.17-0.55),0.19 (-0.17-0.55)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.31,(0.23-0.42), 69.1,(58.3-77.1),0.31 (0.23-0.42), 69.1 (58.3-77.1),-0.02,(-0.33-0.30),-0.02 (-0.33-0.30)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.26,(0.18-0.36), 74.4,(63.7-81.9),0.26 (0.18-0.36), 74.4 (63.7-81.9),0.02,(-0.34-0.38),0.02 (-0.34-0.38)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.13,(0.07-0.22), 87.2,(78.0-92.6),0.13 (0.07-0.22), 87.2 (78.0-92.6),-0.53,(-1.09-0.03),-0.53 (-1.09-0.03)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.19,(0.12-0.31), 80.8,(68.6-88.3),0.19 (0.12-0.31), 80.8 (68.6-88.3),0.13,(-0.39-0.65),0.13 (-0.39-0.65)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.14,(0.09-0.20), 86.1,(79.6-90.5),0.14 (0.09-0.20), 86.1 (79.6-90.5),-0.22,(-0.63-0.18),-0.22 (-0.63-0.18)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.31,(0.20-0.48), 69.2,(51.6-80.4),0.31 (0.20-0.48), 69.2 (51.6-80.4),-0.01,(-0.48-0.47),-0.01 (-0.48-0.47)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.43,(0.31-0.61), 56.6,(38.8-69.2),0.43 (0.31-0.61), 56.6 (38.8-69.2),0.19,(-0.17-0.56),0.19 (-0.17-0.56)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.33,(0.24-0.44), 67.2,(55.6-75.8),0.33 (0.24-0.44), 67.2 (55.6-75.8),-0.02,(-0.34-0.30),-0.02 (-0.34-0.30)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.28,(0.20-0.39), 72.3,(60.7-80.5),0.28 (0.20-0.39), 72.3 (60.7-80.5),0.05,(-0.32-0.41),0.05 (-0.32-0.41)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.14,(0.08-0.24), 86.1,(76.1-92.0),0.14 (0.08-0.24), 86.1 (76.1-92.0),-0.52,(-1.08-0.04),-0.52 (-1.08-0.04)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.20,(0.12-0.33), 79.9,(66.9-87.8),0.20 (0.12-0.33), 79.9 (66.9-87.8),0.11,(-0.42-0.63),0.11 (-0.42-0.63)
"COVID-19
hospitalisation",Any vaccine,Immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.15,(0.10-0.23), 84.7,(77.4-89.7),0.15 (0.10-0.23), 84.7 (77.4-89.7),-0.19,(-0.61-0.22),-0.19 (-0.61-0.22)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.18,(0.15-0.22), 82.0,(78.1-85.2),0.18 (0.15-0.22), 82.0 (78.1-85.2),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.27,(0.23-0.31), 73.0,(69.0-76.5),0.27 (0.23-0.31), 73.0 (69.0-76.5),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",8-14,0.27,(0.24-0.30), 73.1,(70.0-75.9),0.27 (0.24-0.30), 73.1 (70.0-75.9),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",15-21,0.22,(0.19-0.24), 78.4,(75.6-80.9),0.22 (0.19-0.24), 78.4 (75.6-80.9),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",22-28,0.19,(0.16-0.23), 80.7,(77.5-83.5),0.19 (0.16-0.23), 80.7 (77.5-83.5),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",29-35,0.15,(0.12-0.18), 85.0,(81.8-87.6),0.15 (0.12-0.18), 85.0 (81.8-87.6),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,1,"Region-stratified Cox model, with no further adjustment",36+,0.17,(0.14-0.19), 83.4,(80.7-85.6),0.17 (0.14-0.19), 83.4 (80.7-85.6),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",1-3,0.20,(0.16-0.24), 80.1,(75.8-83.6),0.20 (0.16-0.24), 80.1 (75.8-83.6),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",4-7,0.30,(0.26-0.35), 69.9,(65.3-73.8),0.30 (0.26-0.35), 69.9 (65.3-73.8),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",8-14,0.30,(0.27-0.34), 69.7,(66.2-72.9),0.30 (0.27-0.34), 69.7 (66.2-72.9),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",15-21,0.24,(0.22-0.28), 75.7,(72.5-78.5),0.24 (0.22-0.28), 75.7 (72.5-78.5),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",22-28,0.22,(0.19-0.26), 78.0,(74.3-81.2),0.22 (0.19-0.26), 78.0 (74.3-81.2),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",29-35,0.17,(0.14-0.21), 82.9,(79.2-85.9),0.17 (0.14-0.21), 82.9 (79.2-85.9),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,2,"Region-stratified Cox model, with adjustment for baseline confounders",36+,0.18,(0.16-0.21), 81.6,(78.6-84.2),0.18 (0.16-0.21), 81.6 (78.6-84.2),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",1-3,0.22,(0.18-0.27), 77.9,(73.0-81.9),0.22 (0.18-0.27), 77.9 (73.0-81.9),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",4-7,0.33,(0.28-0.38), 67.3,(62.3-71.6),0.33 (0.28-0.38), 67.3 (62.3-71.6),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",8-14,0.33,(0.29-0.37), 67.0,(63.1-70.5),0.33 (0.29-0.37), 67.0 (63.1-70.5),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",15-21,0.26,(0.23-0.29), 74.0,(70.5-77.0),0.26 (0.23-0.29), 74.0 (70.5-77.0),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",22-28,0.24,(0.21-0.28), 75.7,(71.6-79.3),0.24 (0.21-0.28), 75.7 (71.6-79.3),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",29-35,0.19,(0.16-0.23), 80.9,(76.7-84.3),0.19 (0.16-0.23), 80.9 (76.7-84.3),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Not immunocompromised,4,"Region-stratified marginal structural Cox model, with adjustment for baseline and time-varying confounders",36+,0.21,(0.18-0.24), 79.2,(75.8-82.2),0.21 (0.18-0.24), 79.2 (75.8-82.2),0.00,(NA-NA),0.00 (NA-NA)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",1-3,0.23,(0.13-0.41), 77.1,(59.4-87.1),0.23 (0.13-0.41), 77.1 (59.4-87.1),0.24,(-0.36-0.85),0.24 (-0.36-0.85)
"COVID-19
hospitalisation",BNT162b2,Immunocompromised,1,"Region-stratified Cox model, with no further adjustment",4-7,0.29,(0.19-0.45), 71.0,(54.9-81.4),0.29 (0.19-0.45), 71.0 (54.9-81.4),0.07,(-0.39-0.53),0.07 (-0.39-0.53)
